train_l2,test_l2
0.16008645939826965,0.11365677058696746
0.0960988107919693,0.08598744437098503
0.06766452920436859,0.05975081205368042
0.05132805532217026,0.049624773859977725
0.03944836586713791,0.039734999239444735
0.03188172157108784,0.032743772864341734
0.02708854879438877,0.028600264489650726
0.02440134859085083,0.02705387830734253
0.022430794328451156,0.03133429326117039
0.020810697808861734,0.024076379910111426
0.01925258594751358,0.022556980550289155
0.01878354586660862,0.023745269253849982
0.016616710379719735,0.026418897062540053
0.016265372753143312,0.024504014849662782
0.01528599090874195,0.01967124257236719
0.016033984780311584,0.023783815801143648
0.014639489464461803,0.019307269230484963
0.01354650191962719,0.019882807582616804
0.015101938650012017,0.02299347460269928
0.013757278650999068,0.018257399313151835
0.011900139950215816,0.017849413082003593
0.011589238673448563,0.02337279565632343
0.01255267310142517,0.02291346251964569
0.012169909186661243,0.0182222268730402
0.01099093359708786,0.01906099569052458
0.01155535240471363,0.017690061256289483
0.012083614766597748,0.02001378282904625
0.01101583257317543,0.017993512488901617
0.010159468397498131,0.017512516118586063
0.009925903640687466,0.020186319798231125
0.011504182234406472,0.018516367524862288
0.010074864752590656,0.016605876460671423
0.009053130209445953,0.016183588579297067
0.009779989048838615,0.01901161529123783
0.010475778594613076,0.023501340448856354
0.011035428121685982,0.01722311623394489
0.010471937209367753,0.016550459340214728
0.009349225744605064,0.016660014726221563
0.008917268984019757,0.016051076874136923
0.008078460544347764,0.017169901616871357
0.009877280853688717,0.018067164048552513
0.009457168966531754,0.017577394433319567
0.008735838487744332,0.016112346835434437
0.008305867716670036,0.01607026074081659
0.010439917393028736,0.019399764239788054
0.009966292604804038,0.01628744162619114
0.008731420949101449,0.015970023572444914
0.009135710649192334,0.016394227631390094
0.008125954389572143,0.01600612286478281
0.0078060275427997115,0.016819394677877426
0.007553097806870937,0.015723766162991523
0.00859936798363924,0.017215404994785785
0.008180083014070987,0.015987403765320776
0.009472624368965626,0.020747915506362916
0.008981017649173736,0.016153685711324216
0.008873354397714138,0.017704753428697585
0.008056055136024951,0.01573431070894003
0.008793318971991539,0.016484087854623793
0.00818454309552908,0.01653677374124527
0.00756362583488226,0.016073136031627654
0.007016836643218994,0.015554645471274853
0.007118511013686657,0.018178986087441444
0.008489945620298386,0.016160918734967708
0.007988634023815394,0.01604161601513624
0.009024887092411518,0.016287353485822678
0.008173963967710734,0.01646057639271021
0.007447663128376007,0.01578530453145504
0.00838334085047245,0.015331874638795852
0.007063415288925171,0.015267294608056545
0.007035287171602249,0.015459932684898377
0.0076189817413687706,0.01514814879745245
0.0077972615882754325,0.018842159509658812
0.008663941945880651,0.015302001535892486
0.007280892569571733,0.0165420301258564
0.006929499827325344,0.015203023366630077
0.006682986926287412,0.015145294293761253
0.006741551876068115,0.014981083571910858
0.006655617788434029,0.015100464224815369
0.0071813037917017935,0.0163545498624444
0.008259167917072773,0.015494123995304108
0.00830426175892353,0.01671811267733574
0.00834185042232275,0.015668151192367075
0.0071253225579857825,0.015872732549905778
0.007395441472530365,0.01862836252897978
0.007471041608601808,0.015457304194569588
0.006765684321522713,0.015682282261550426
0.007215295158326626,0.014898711144924163
0.007187622904777527,0.01559735544025898
0.0063408614695072175,0.014912609979510306
0.006445093400776386,0.015050104074180125
0.007067829541862011,0.017313089072704315
0.00697528188303113,0.016044190488755702
0.006833929117769003,0.015140153914690018
0.006739933475852012,0.015333470702171326
0.00687380787730217,0.015799733325839043
0.007001170873641968,0.01534848190844059
0.0068309826888144016,0.015129280313849448
0.006045172214508057,0.01556601483374834
0.007922906730324029,0.017165723741054534
0.0074015076830983165,0.01571685642004013
0.005328315258026123,0.015253680981695652
0.004878380347043276,0.014467433094978333
0.004306240342557431,0.014437131136655807
0.004205856315791607,0.014343421831727028
0.004162451226264238,0.014404589384794235
0.004369673151522875,0.014276260100305081
0.004159309402108192,0.014305767677724361
0.004116417322307825,0.0148007645085454
0.0043674855306744574,0.014472241923213005
0.004081160459667444,0.014840339198708535
0.004239582866430283,0.014288434870541095
0.0043612059988081455,0.014488201551139356
0.00435513911396265,0.014298187606036662
0.004188550852239132,0.01433983389288187
0.0043386612348258495,0.014368649236857892
0.004351405709981918,0.014417403116822243
0.004210743501782417,0.01457091275602579
0.004752495631575584,0.014503968507051468
0.004626919224858284,0.01435816302895546
0.004212737403810024,0.014397655688226223
0.004322741508483887,0.014591213166713714
0.0045592313557863235,0.014460384398698806
0.004765432003885507,0.014290224760770798
0.004387696363031864,0.014639440141618252
0.0041177387125790115,0.014385455660521984
0.004638558641076088,0.014228629656136036
0.004145232528448105,0.014649319499731063
0.004185910444706679,0.01474429965019226
0.004259555753320455,0.014398286640644074
0.004316741317510605,0.01604913506656885
0.005068739969283342,0.014627633392810821
0.004981227613985538,0.014346742630004882
0.00452343599498272,0.014720915891230106
0.0042525726184248925,0.01477803323417902
0.0046742774210870265,0.014347411319613456
0.004153142165392637,0.014387885592877864
0.0044968509227037426,0.016014425754547118
0.004896692961454391,0.014364127591252327
0.004234438855201006,0.014484266005456447
0.004331260927021504,0.014163344278931617
0.004099097704514861,0.014793402142822742
0.004292271487414837,0.014218602776527405
0.004167488265782594,0.014320973381400108
0.004095331314951181,0.014457658194005489
0.004336936183273792,0.014425386898219586
0.0042296662814915184,0.0144011664763093
0.004148509982973337,0.014554976895451545
0.004381770849227905,0.01416925635188818
0.004594284068793059,0.014702425599098205
0.004558892711997032,0.014491617232561111
0.004222332783043384,0.014126398265361786
0.004006502840667963,0.014220288097858429
0.0039054138734936714,0.014317691065371037
0.0038487122226506473,0.014264389984309673
0.0038620001673698424,0.01423943467438221
0.003870593961328268,0.014296026304364204
0.003896870341151953,0.014446596056222916
0.003967939430847764,0.01438736066222191
0.0038222039192914964,0.014211265966296197
0.004331620939075947,0.015244876258075237
0.005054289050400257,0.01460210159420967
0.00429215295240283,0.014434290677309036
0.004557429224252701,0.014709500223398208
0.004301853340119123,0.014242835529148578
0.004016666393727064,0.014325365573167801
0.004410146106034517,0.014968071728944779
0.004653603244572878,0.014277864918112755
0.003894768077880144,0.014289211854338646
0.0039798703789711,0.014405421279370785
0.003976532448083162,0.01430444285273552
0.0038430751487612724,0.014250234216451645
0.0037677759006619453,0.014422615431249142
0.003921100404113531,0.01418415892869234
0.003776679154485464,0.014375246539711952
0.00416717348061502,0.014286275506019592
0.004044898288324475,0.014292450323700905
0.0037811967842280867,0.01448109995573759
0.004583836000412703,0.01419821634888649
0.004619798619300127,0.014682827852666377
0.0045108326673507695,0.014885880760848522
0.004231600943952799,0.014173682853579521
0.004375513447448611,0.014311018511652946
0.004164478495717048,0.01439166158437729
0.004406288981437683,0.014655249454081058
0.0046812267769128085,0.01437142014503479
0.004391983646899461,0.014246298894286157
0.003992319576442241,0.014662720039486885
0.004160645350813866,0.015062010288238526
0.004495368979871273,0.014575359486043453
0.003985936034470797,0.014304814264178276
0.003627887986600399,0.014518909007310867
0.004278810469433666,0.014222729876637459
0.004090527135878801,0.014161675944924354
0.003671063307672739,0.01407780222594738
0.0037370441872626543,0.014341740384697915
0.0037394278571009636,0.014251514747738838
0.0036047439109534027,0.01427664391696453
0.0036997979544103146,0.014094730503857136
0.004726575467735529,0.01452041618525982
0.004460352931171655,0.014516390711069107
0.003631293226033449,0.014028750732541085
0.0030468754805624484,0.013998520821332931
0.0029588302299380304,0.014059820957481862
0.0028317065164446833,0.014031571522355079
0.0028183165416121483,0.01402778632938862
0.0027830015495419504,0.01402058906853199
0.0027681482881307604,0.014109107367694378
0.002753359289839864,0.014038167931139468
0.0028327091671526434,0.01399842169135809
0.0028190602995455264,0.01411177944391966
0.002796553544700146,0.01413925752043724
0.002890552267432213,0.014428820461034775
0.0029890623334795237,0.014078227579593658
0.002855678986757994,0.01398514050990343
0.002896994972601533,0.013946569077670574
0.002975136138498783,0.014027570784091949
0.002848399521782994,0.013952466025948525
0.0028420968782156704,0.013986257761716843
0.00290448185056448,0.014163671620190143
0.0029601561930030582,0.01404409933835268
0.0030291121043264867,0.014320296384394169
0.0031473352983593943,0.014365669041872024
0.0031474079471081494,0.014066760838031768
0.0030777900349348783,0.014017730206251144
0.0030676016379147767,0.01411038238555193
0.00296198458224535,0.014035767242312432
0.002930426228791475,0.014166594631969929
0.0029086365830153227,0.013975716158747674
0.0031020487397909165,0.014028316959738732
0.0029152980744838715,0.014132694005966187
0.0028464499693363907,0.014154211729764938
0.0028214547093957662,0.014120760411024093
0.0028277917988598347,0.014064678102731704
0.0030086516328155996,0.013996877521276475
0.0029696123246103524,0.014062557220458984
0.0029342887029051782,0.014116152040660381
0.0028890554644167422,0.014020433202385902
0.002852278795093298,0.013950112909078598
0.0029119981564581393,0.014005057476460935
0.003015620864927769,0.014017407707870006
0.0029019346982240676,0.014073421321809292
0.002898482594639063,0.014017317891120911
0.0030782938338816167,0.014004025608301163
0.0031199454311281443,0.014148052409291267
0.0032698133364319803,0.014112844616174697
0.003255243305116892,0.014338332042098046
0.0031515582650899886,0.014097574204206466
0.0029331257380545137,0.014089290872216225
0.0028654853012412785,0.014119291082024574
0.002858098965138197,0.014020227827131748
0.0028264240436255933,0.013933976665139198
0.0030109069049358366,0.014106948263943195
0.002914955174550414,0.01402822121977806
0.0029450872931629417,0.014017260223627091
0.0030838499143719675,0.014012838937342167
0.0028755526803433897,0.014149999916553498
0.0029625400006771086,0.014039350934326648
0.002989364355802536,0.01429675504565239
0.003290088169276714,0.013969928994774818
0.0029210726860910653,0.014110127910971642
0.0027578078713268043,0.014009636044502258
0.0028444782756268977,0.014095993414521217
0.00274930508621037,0.014015771746635437
0.002793736681342125,0.014042339958250523
0.0028152242563664913,0.014255644492805005
0.002957579204812646,0.013894278109073638
0.0029255048260092733,0.013952957391738892
0.0027216643337160348,0.014156663790345192
0.0029938656762242316,0.01441110484302044
0.0028968959935009478,0.014006252810359
0.0028290420658886434,0.014155973233282566
0.002973299464210868,0.01430786807090044
0.0032173004485666753,0.013996746689081192
0.003070706989616156,0.014021700657904148
0.0028200164623558522,0.01406706526875496
0.0029233280699700118,0.014113648608326913
0.0028701417054980993,0.013882072940468788
0.0029063502941280603,0.014061364829540252
0.0027735604923218487,0.014008302576839923
0.0027469634916633366,0.013972846530377865
0.002709816914051771,0.014009267613291741
0.0027113768011331556,0.01397813305258751
0.00271451467089355,0.014103850200772285
0.002763870570808649,0.014068563766777516
0.002662339676171541,0.014044013731181621
0.003235264452174306,0.013967049904167653
0.0030396299995481967,0.014022751413285732
0.0028547136932611464,0.013950293213129043
0.0030214501321315767,0.014064609259366988
0.0028768832199275495,0.013977954387664795
0.002903498338535428,0.014205324798822402
0.0029012994933873414,0.014008761718869209
0.0027207253146916627,0.014169475808739663
0.0028005817122757435,0.014036545231938362
0.002760103574022651,0.01411176785826683
0.0027773813940584658,0.0140662856772542
0.002762404400855303,0.014141010977327824
0.002910422623157501,0.013911327868700028
0.0029417931158095597,0.013985699191689491
0.0029279127195477486,0.013974613919854164
0.002635580314323306,0.013969594277441502
0.0024735042974352835,0.01394447922706604
0.0024230183754116296,0.013928469642996788
0.002399543112143874,0.013922087848186493
0.0023977561742067337,0.01392659854143858
0.0023878994099795817,0.013924379646778107
0.0023899408727884293,0.013905798494815826
0.002377494778484106,0.013938098810613156
0.0023808117657899857,0.013920849151909352
0.002370195373892784,0.01392635002732277
0.0023655248433351516,0.013919848948717117
0.002364887306466699,0.013920705802738666
0.0023612277377396823,0.013928126692771912
0.0023570042345672846,0.013916265293955803
0.0023544068206101656,0.013911937959492207
0.0023573044314980506,0.013913932256400585
0.00236066572368145,0.013917598314583302
0.0023965984489768746,0.013939895033836365
0.0024247936550527813,0.013891406320035458
0.0023960078917443753,0.013921096473932266
0.0024216960351914167,0.013969162628054619
0.002398053418844938,0.013933642245829105
0.0024065998680889607,0.013886236138641834
0.0024563807509839536,0.013989187330007553
0.0024916762486100197,0.013927391320466996
0.002449568461626768,0.013913189582526684
0.0024291476923972368,0.01395083725452423
0.002417070709168911,0.013937534987926483
0.0024106681123375892,0.013901622965931892
0.002421916875988245,0.013919061906635761
0.002433054029941559,0.013962602242827415
0.0024478474073112012,0.01392910435795784
0.0024882990531623363,0.013949718475341797
0.0024501050487160682,0.013932731971144675
0.0024055832456797363,0.013903427720069885
0.0024167636074125766,0.014020619504153729
0.0024977981597185134,0.01404422990977764
0.002428209748119116,0.013872239924967288
0.0024277615770697592,0.013989027813076973
0.0024043608605861665,0.013963364176452159
0.0023961893729865552,0.013844324797391892
0.0023921127691864967,0.013907333090901374
0.0023800840675830843,0.013888901583850383
0.0024277941957116128,0.013814122006297112
0.002413482382893562,0.013948237895965577
0.0024051363430917265,0.013882366195321082
0.0023882179223001,0.013861665055155754
0.0023735364265739917,0.013859818987548352
0.0023730263262987136,0.013908102959394455
0.0024005228262394666,0.013909380957484245
0.002550130434334278,0.013873543031513691
0.00250229830108583,0.01392525602132082
0.002431947145611048,0.013923065513372421
0.0023776360284537075,0.013900645896792413
0.002408031366765499,0.013938224352896213
0.0023747296873480083,0.013995481878519058
0.00239561602473259,0.013914545141160488
0.0023934263065457343,0.013936943635344505
0.0023956829868257046,0.01388890229165554
0.002400788834318519,0.013870407715439797
0.0023449408039450644,0.013874108232557773
0.002325286492705345,0.013892052173614501
0.0023443305678665636,0.013903511017560958
0.0023938374165445564,0.014054098799824714
0.002519232150167227,0.013930212035775184
0.0024146219473332167,0.013890671618282795
0.002378815896809101,0.01387769728899002
0.002360707787796855,0.013886476531624795
0.002386650584638119,0.013936800099909306
0.00249103032797575,0.014053008183836938
0.002536178294569254,0.01390335064381361
0.0024498204253613947,0.014092014878988266
0.0024848951045423747,0.013856665641069412
0.0024026082120835782,0.013885052055120467
0.0023385920263826847,0.013867459595203399
0.002314996026456356,0.013882879912853242
0.0022985335625708104,0.013874752223491668
0.002285260759294033,0.013886465579271317
0.002296719279140234,0.013855487257242203
0.0022974030654877423,0.01389290001243353
0.002373190542683005,0.013823952227830887
0.0023919070735573767,0.013936518803238868
0.002429079793393612,0.013870831690728664
0.0023828158285468816,0.013989008627831936
0.002395501373335719,0.013846039026975631
0.0023524103220552207,0.013934049494564534
0.002311923496425152,0.01388883352279663
0.0022999329417943953,0.01385578267276287
0.002288346853107214,0.013893657401204108
0.0022960410751402377,0.013807171955704689
0.002447713278234005,0.013885526582598687
0.0023980838023126127,0.013901953957974911
0.0023636687584221365,0.013891215100884438
0.0023219944387674334,0.013888911157846451
0.0023203004505485294,0.013888177499175071
0.0023530996888875963,0.013833800740540027
0.002351289078593254,0.013931568637490272
0.002324663169682026,0.013899098075926304
