train_rl2,test_rl2
7.629865523427725,2.768361449241638
2.578906249254942,2.855439066886902
1.41734186001122,1.2464069724082947
0.6594599094241858,0.8291929215192795
0.7478806246072054,1.077002465724945
0.7279112078249454,0.31969278305768967
0.6755768768489361,0.6986924856901169
0.6801138501614332,0.7701076418161392
0.6364882867783308,0.18483074009418488
0.5758669227361679,0.878672257065773
0.7587324352934957,0.19152887538075447
0.5206533540040255,0.4505927339196205
0.24755000229924917,0.20100993290543556
0.2884901282377541,0.329863466322422
0.4538169694133103,0.5685407817363739
0.5542740635573864,0.23999490216374397
0.4862875733524561,0.2530565671622753
0.30235293973237276,0.33389057219028473
0.2883166749961674,0.2814784422516823
0.2746305735781789,0.24780942872166634
0.2818732224404812,0.21687554195523262
0.2547493139281869,0.37429798394441605
0.27706781728193164,0.3435421884059906
0.29089601431041956,0.16673019155859947
0.2577073434367776,0.26024020463228226
0.6785752847790718,0.19088777899742126
0.33800892857834697,0.22978610172867775
0.27143231872469187,0.22412850707769394
0.2694656178355217,0.09976638108491898
0.4472056217491627,0.4519387260079384
0.4513106867671013,0.3164980784058571
0.4320659809745848,0.7257259637117386
0.7097993660718203,0.5538325756788254
0.7114014653488994,0.2070559412240982
0.3872973741963506,0.4346502050757408
0.3933764258399606,0.6750036180019379
0.3838665490038693,0.06380890309810638
0.3666100772097707,0.3463754504919052
0.36369492392987013,0.3328407257795334
0.2732624630443752,0.22447366267442703
0.19389639561995864,0.2994164973497391
0.22523131081834435,0.5198053196072578
0.604987932369113,0.4318319335579872
0.5398428486660123,0.5178056210279465
0.2741254735738039,0.09176435507833958
0.1620018663816154,0.3098353073000908
0.19205631641671062,0.16605641692876816
0.18456007167696953,0.1357249915599823
0.18508350290358067,0.10981499217450619
0.17493331083096564,0.09232774749398232
0.29559446941129863,0.3167182058095932
0.4421338774263859,0.19934598729014397
0.42218361096456647,0.4695234075188637
0.348841343075037,0.17251288145780563
0.19230970181524754,0.24334623664617538
0.14406950143165886,0.13692697510123253
0.16103575518354774,0.24196868017315865
0.1627273941412568,0.16995889320969582
0.0752072911709547,0.040906913578510284
0.036489670746959746,0.02941578673198819
0.024409884004853666,0.018031018786132336
0.021355370176024735,0.018698264844715595
0.021382708218879998,0.024397531524300575
0.021238182089291513,0.019485273398458958
0.020645105396397412,0.01556339580565691
0.014589661033824086,0.014470375375822186
0.014861212985124439,0.01398538425564766
0.013893578958231956,0.015051230788230896
0.013436099223326892,0.012007138459011912
0.013433652580715716,0.01319986185990274
0.012943417706992477,0.011497475672513247
0.013159866561181843,0.011659365613013506
0.020480599952861667,0.016285999678075314
0.0207643621833995,0.016277312533929944
0.02099115145392716,0.019040887244045734
0.022302862897049636,0.016258166404441
0.02011121960822493,0.031830505933612585
0.03610965993721038,0.04573293961584568
0.0368971680290997,0.03705634921789169
0.034033955773338675,0.03182810917496681
0.019051804090850055,0.025769498199224472
0.02249572257278487,0.017464131582528353
0.01957455580122769,0.023768580053001642
0.020035017339978367,0.020237063989043236
0.02010479080490768,0.02723141387104988
0.02078721229918301,0.015701614320278168
0.021075023978482932,0.020654669031500816
0.021076628530863672,0.020697686821222305
0.02121917949989438,0.019973881542682648
0.02009320945944637,0.033750477246940136
0.021146281564142555,0.02815504977479577
0.022946820594370365,0.01746463542804122
0.010905757371801883,0.007386933546513319
0.007783862092765048,0.0075374452862888575
0.007293020695215091,0.007256873999722302
0.007206322887213901,0.007223472464829683
0.00713045708835125,0.007197807659395039
0.007131279504392296,0.007172154961153865
0.00709153976640664,0.007150397170335054
0.0070680464268662035,0.0071264858124777675
0.007084181212121621,0.007103580632247031
0.0070504491741303355,0.0070811574114486575
0.007024753169389442,0.007056335685774684
0.006987042055698112,0.00703373143915087
0.006969472742639482,0.007010440458543599
0.006963371415622532,0.006989888264797628
0.0069293041015043855,0.006963516818359494
0.006886403891257942,0.0069400317734107375
0.006897300336277112,0.006917750812135637
0.0068496329768095165,0.006892398465424776
