train_rl2,test_rl2
64.08325958251953,54.50511646270752
50.77921152114868,44.22190856933594
43.15917992591858,39.93760395050049
40.8076708316803,38.58249759674072
39.6513466835022,37.41653823852539
38.46125543117523,36.282944679260254
37.25442063808441,35.167694091796875
36.10968768596649,34.06862163543701
34.890267848968506,32.97633171081543
33.748380064964294,31.903478622436523
32.71684670448303,30.842327117919922
31.716461062431335,29.79943037033081
30.520030617713928,28.74907684326172
29.55948007106781,27.726923942565918
28.41210150718689,26.713419914245605
27.472957015037537,25.69784927368164
26.362403988838196,24.691722869873047
25.373170375823975,23.71019983291626
24.27681827545166,22.738022804260254
23.28103744983673,21.77998113632202
22.313274145126343,20.831833839416504
21.23236620426178,19.889444828033447
20.33835017681122,18.98033571243286
19.32954239845276,18.07951593399048
18.49154222011566,17.18854022026062
17.585801541805267,16.311600923538208
16.607047498226166,15.456103086471558
15.70906376838684,14.61772108078003
14.863726079463959,13.789262294769287
13.943222045898438,12.985832691192627
13.183515906333923,12.213252067565918
12.438925921916962,11.45932650566101
11.560949146747589,10.717582702636719
10.831505000591278,10.014609336853027
10.130015015602112,9.340874433517456
9.420173168182373,8.69165563583374
8.713184177875519,8.078198909759521
8.142700552940369,7.501462697982788
7.562977999448776,6.957545638084412
6.977465003728867,6.453473448753357
6.456461876630783,5.9881815910339355
6.009569197893143,5.563462734222412
5.55380854010582,5.179078221321106
5.213473856449127,4.8429155349731445
4.870489954948425,4.541783928871155
4.604748353362083,4.280991792678833
4.336838319897652,4.055941224098206
4.116680383682251,3.8708744645118713
3.9248732924461365,3.7149109840393066
3.791181266307831,3.5904886722564697
3.673113539814949,3.4859941601753235
3.5651694238185883,3.40057909488678
3.5146713256835938,3.32723468542099
3.4141553342342377,3.261796772480011
3.3700758665800095,3.2033011317253113
3.2778428196907043,3.148657202720642
3.225558117032051,3.0962403416633606
3.197002798318863,3.0516560077667236
3.147463336586952,2.9956825375556946
3.1066530346870422,2.9474891424179077
3.0425245463848114,2.8982511162757874
2.9910584539175034,2.851755201816559
2.9187681823968887,2.8018797636032104
2.8924389332532883,2.7547523379325867
2.846441850066185,2.707707703113556
2.796116605401039,2.6608325242996216
2.7280050069093704,2.614645540714264
2.679402470588684,2.5694356858730316
2.651892125606537,2.524234652519226
2.589417278766632,2.4797150790691376
2.54402057826519,2.4354168176651
2.489226207137108,2.3923791646957397
2.444926381111145,2.3495821356773376
2.4015551656484604,2.307560831308365
2.3531768321990967,2.2663775086402893
2.3120970726013184,2.2258215248584747
2.2631824910640717,2.189396917819977
2.2222777903079987,2.147778183221817
2.1769669726490974,2.110570192337036
2.1460133343935013,2.0733927488327026
2.1146945357322693,2.0347766280174255
2.0596669167280197,1.9985955655574799
2.0422248467803,1.963157594203949
1.9893156066536903,1.9281778931617737
1.959131896495819,1.8957790434360504
1.9278103336691856,1.8618807196617126
1.882780596613884,1.8299261331558228
1.856844961643219,1.7997967004776
1.822852984070778,1.7690640985965729
1.784305915236473,1.7395008206367493
1.7526323720812798,1.7108672559261322
1.735007643699646,1.6867866218090057
1.704131580889225,1.662792056798935
1.672606684267521,1.6320671141147614
1.6515664979815483,1.607365906238556
1.6290699690580368,1.5838911533355713
1.607418954372406,1.562423825263977
1.5783146545290947,1.5451469719409943
1.5563106536865234,1.5218513309955597
1.5451768785715103,1.5074228942394257
1.521881327033043,1.4826741516590118
1.4962519779801369,1.4629497230052948
1.4690887778997421,1.4578004777431488
1.470110297203064,1.4292307794094086
1.4377321302890778,1.4143865704536438
1.4246072843670845,1.4003178775310516
1.4178703874349594,1.387254536151886
1.401137724518776,1.3762130737304688
1.39475017786026,1.3641534447669983
1.3672475963830948,1.3521508276462555
1.3630326688289642,1.346259891986847
1.3471200093626976,1.3281350433826447
1.338710017502308,1.3256382942199707
1.335194207727909,1.3086190819740295
1.315554440021515,1.3000817596912384
1.3167630732059479,1.2934977412223816
1.309555672109127,1.2877666652202606
1.2936755269765854,1.2824539840221405
1.2852038964629173,1.2700347304344177
1.2945952340960503,1.2596351504325867
1.281664952635765,1.2547156512737274
1.2691772431135178,1.2509483098983765
1.2518697157502174,1.2415465712547302
1.2522041648626328,1.240914225578308
1.2510037794709206,1.2317770719528198
1.2429167106747627,1.2303315699100494
1.237775556743145,1.223664104938507
1.234317108988762,1.217448890209198
1.2216975912451744,1.2097605168819427
1.2225124314427376,1.2093661427497864
1.2172292321920395,1.2013542652130127
1.2097999677062035,1.1979254186153412
1.2106791585683823,1.1939756572246552
1.19794449955225,1.1900306046009064
1.1968691870570183,1.1961935758590698
1.1950372643768787,1.1840047240257263
1.1958318501710892,1.1767323911190033
1.1860058680176735,1.1751025915145874
1.1938509494066238,1.178250789642334
1.17436134070158,1.16758131980896
1.173357106745243,1.1629393994808197
1.1744947955012321,1.164348989725113
1.1622746847569942,1.1567760407924652
1.1609312668442726,1.1545498967170715
1.1648530960083008,1.1497960984706879
1.155909113585949,1.1454643309116364
1.1606783457100391,1.1427868902683258
1.1447529643774033,1.141276478767395
1.1588828079402447,1.1360576152801514
1.142145425081253,1.1370396614074707
1.1361587680876255,1.1300660967826843
1.1309118084609509,1.1313610076904297
1.1383369266986847,1.1260694563388824
1.1289572194218636,1.1256369948387146
1.1237640865147114,1.122576266527176
1.1280412897467613,1.1171572804450989
1.1252024099230766,1.1144941747188568
1.1193006560206413,1.1273362040519714
1.1204935610294342,1.1067649126052856
1.1114921644330025,1.105994462966919
1.111358605325222,1.1087937355041504
1.1186695396900177,1.0991476327180862
1.1127524636685848,1.101710557937622
1.1034549586474895,1.0960121750831604
1.100222010165453,1.0909492671489716
1.0975976847112179,1.087790846824646
1.089096050709486,1.0874332189559937
1.1058916710317135,1.0824368000030518
1.0871105566620827,1.0812993049621582
1.083638358861208,1.0806106477975845
1.0883669257164001,1.0833957195281982
1.080487910658121,1.0772226303815842
1.0765380635857582,1.0755657255649567
1.0785353183746338,1.0683162212371826
1.0693203434348106,1.066002607345581
1.0691014975309372,1.0637035816907883
1.0661378987133503,1.0652176439762115
1.0665181055665016,1.0619238913059235
1.0608171299099922,1.060791939496994
1.063819769769907,1.0743423849344254
1.0691898055374622,1.0579671561717987
1.057746559381485,1.0509046465158463
1.0575333051383495,1.0481604933738708
1.0486336797475815,1.0494199842214584
1.0571638494729996,1.0488939732313156
1.0598795041441917,1.0415994226932526
1.0447549223899841,1.0403874814510345
1.0410836264491081,1.0380084812641144
1.037308108061552,1.0370325595140457
1.0397171452641487,1.0360596626996994
1.0362529680132866,1.0330920219421387
1.040064476430416,1.0316297709941864
1.032406497746706,1.0346509218215942
1.0376468561589718,1.0258848071098328
1.0475484393537045,1.0252142250537872
1.0316369496285915,1.0216687321662903
1.0254052579402924,1.0212265104055405
1.0224233269691467,1.0193355232477188
1.021910049021244,1.0290543287992477
1.0233566276729107,1.0139374434947968
1.0215883925557137,1.0131537169218063
1.0150542668998241,1.0108793079853058
1.009777694940567,1.0100587159395218
1.0117782317101955,1.0178358256816864
1.0203610993921757,1.0059435367584229
1.0081749372184277,1.0057596415281296
1.0149201676249504,1.014132484793663
1.0102498196065426,1.0040414184331894
1.0055361576378345,0.9988508373498917
1.0012696869671345,1.0146424174308777
1.0063719674944878,0.9983847737312317
0.994148850440979,0.9948879182338715
0.9961790256202221,0.9917908757925034
0.9913701117038727,0.9972864538431168
0.9986150301992893,0.99506975710392
0.9889850132167339,0.988671138882637
0.990409042686224,0.9850876480340958
0.9850759096443653,0.9853023588657379
0.9819133281707764,0.9830434322357178
0.9820654764771461,0.9836645573377609
0.9804261662065983,0.9806416481733322
0.9805637076497078,0.9778472632169724
0.9809707440435886,0.9814315438270569
0.9727577492594719,0.9806240051984787
0.9823829270899296,0.9727406948804855
0.9709328077733517,0.9719816893339157
0.9702106826007366,0.9712687581777573
0.9675650671124458,0.968469500541687
0.9665062054991722,0.9669435024261475
0.9690412059426308,0.9857159703969955
0.9707768000662327,0.9703895747661591
0.96733707934618,0.9619446992874146
0.9695287421345711,0.9630338549613953
0.9606963768601418,0.9610186368227005
0.962042860686779,0.9611351788043976
0.9583412259817123,0.9558626115322113
0.9634160697460175,0.9603639394044876
0.9552162997424603,0.9575580805540085
0.9551691599190235,0.9524488300085068
0.9475433304905891,0.9526377022266388
0.9570500329136848,0.960834801197052
0.9533209316432476,0.9605663269758224
0.9814446680247784,0.9691578298807144
0.9876181185245514,1.0025877952575684
0.9751169048249722,0.9469812512397766
0.961236760020256,0.9674127399921417
0.9435520321130753,0.9420072734355927
0.9442173838615417,0.9422074556350708
0.9411296471953392,0.9399162530899048
0.9406567141413689,0.9395524263381958
0.9365515857934952,0.9380856305360794
0.9361887350678444,0.9384719878435135
0.9364477396011353,0.9428436905145645
0.9303552880883217,0.9354699701070786
0.9355655983090401,0.9375015497207642
0.9305508509278297,0.9333751350641251
0.9319018982350826,0.9344618618488312
0.9309473112225533,0.9315955489873886
0.935359001159668,0.9466409385204315
0.9336666278541088,0.9320457875728607
0.924915436655283,0.9262126088142395
0.9272608384490013,0.925066813826561
0.9223555587232113,0.9489976465702057
0.9256444089114666,0.9237956404685974
0.9242858402431011,0.9315239042043686
0.9232698418200016,0.9253780543804169
0.916972178965807,0.9209129065275192
0.9203550964593887,0.9211638122797012
0.913146372884512,0.9180039763450623
0.9146625436842442,0.9181041866540909
0.9145292453467846,0.9148197323083878
0.9107034355401993,0.9138577878475189
0.9110616333782673,0.9285789728164673
0.9216490238904953,0.9333743005990982
0.9157548174262047,0.914050817489624
0.9105316586792469,0.9099306911230087
0.9127040468156338,0.9137395918369293
0.9079233892261982,0.9082545638084412
0.9095725566148758,0.9220485538244247
0.9117180146276951,0.912499263882637
0.9080476239323616,0.9056587219238281
0.9102963507175446,0.9040306657552719
0.9033011123538017,0.9042267054319382
0.9090092517435551,0.9028352349996567
0.9006504788994789,0.9009687751531601
0.8964039199054241,0.9028739035129547
0.8993052877485752,0.9026935696601868
0.8989466838538647,0.9054501205682755
0.8914022333920002,0.8988121002912521
0.8930506743490696,0.9085564762353897
0.8985000550746918,0.8949331343173981
0.8904769383370876,0.8959812521934509
0.8938251696527004,0.8942613303661346
0.8880363516509533,0.8934418708086014
0.8903701305389404,0.8912567347288132
0.887569960206747,0.8936768770217896
0.8856311179697514,0.8945548087358475
0.8882529400289059,0.8895183205604553
0.8865249678492546,0.8877810537815094
0.8875382393598557,0.8860364407300949
0.8816472291946411,0.8853466659784317
0.87923913449049,0.8871186375617981
0.8852979838848114,0.8969119191169739
0.8853429071605206,0.8831378221511841
0.8803338035941124,0.8821788728237152
0.8823352642357349,0.8804115355014801
0.8760940842330456,0.8804434537887573
0.8739399388432503,0.8827139735221863
0.8766771517693996,0.8794190883636475
0.8781701065599918,0.8908344060182571
0.8968317322432995,0.8784525543451309
0.8781400844454765,0.8867141455411911
0.8758264221251011,0.8742057085037231
0.8702229298651218,0.8729941546916962
0.8678914457559586,0.8730798661708832
0.8690631203353405,0.8725737035274506
0.865930825471878,0.8717128932476044
0.8635425493121147,0.8701030164957047
0.8666891492903233,0.8695870190858841
0.8628631345927715,0.8763723224401474
0.8663057908415794,0.8666431307792664
0.8635184243321419,0.8662119358778
0.8706749007105827,0.869253396987915
0.8586779683828354,0.8669046461582184
0.8639064617455006,0.8679272085428238
0.8585312701761723,0.8633699268102646
0.8597696386277676,0.8693173229694366
0.8614751100540161,0.8627075999975204
0.8537697307765484,0.8758374750614166
0.8578919097781181,0.8639276325702667
0.8571539521217346,0.8597552627325058
0.8538502342998981,0.8592454493045807
0.8515214920043945,0.8760001957416534
0.8649654909968376,0.9042131453752518
0.8663448430597782,0.860024631023407
0.851302158087492,0.8566495478153229
0.8571477495133877,0.8549326360225677
0.8536446467041969,0.8550115078687668
0.8669196031987667,0.8534422367811203
0.8655107617378235,0.8565175831317902
0.8481487967073917,0.8520187139511108
0.8506371937692165,0.8537870347499847
0.8423351347446442,0.860285222530365
0.8534491322934628,0.8521843403577805
0.8510741591453552,0.848607063293457
0.8445828445255756,0.8581460267305374
0.849595632404089,0.8606986701488495
0.8488362282514572,0.8472901731729507
0.8406338579952717,0.8458848148584366
0.8368380144238472,0.8485104441642761
0.8396545462310314,0.8462338149547577
0.8368388153612614,0.8430625200271606
0.8340614326298237,0.8585639894008636
0.8392627350986004,0.8424698114395142
0.8352122828364372,0.8421045541763306
0.8360461853444576,0.8446898460388184
0.8356562741100788,0.8427397459745407
0.8377999290823936,0.8418714255094528
0.8368783332407475,0.8408792018890381
0.8353886976838112,0.8438272476196289
0.832269337028265,0.841761127114296
0.8342587426304817,0.8366651833057404
0.8400332368910313,0.8361151963472366
0.8315259702503681,0.8353355973958969
0.8344221748411655,0.8346602767705917
0.8367262817919254,0.8351573944091797
0.8288241252303123,0.8339006006717682
0.8235301710665226,0.8376488238573074
0.8379206284880638,0.8627592623233795
0.8561689220368862,0.8448712825775146
0.8316909596323967,0.8319851756095886
0.8216898366808891,0.8396482169628143
0.8232402093708515,0.8339778780937195
0.8205444552004337,0.8333648294210434
0.8204512819647789,0.8283046334981918
0.8227312080562115,0.8282188773155212
0.82054078951478,0.8277861624956131
0.8199422135949135,0.8270717710256577
0.8191952519118786,0.8260150700807571
0.8200750648975372,0.8256693631410599
0.8204449117183685,0.8334493637084961
0.8228160738945007,0.8248175829648972
0.8254872374236584,0.827567458152771
0.8231804594397545,0.8415878415107727
0.8212308026850224,0.8241184204816818
0.8175237663090229,0.8368499130010605
0.8185280151665211,0.8373653590679169
0.8227380998432636,0.8283919841051102
0.8112237527966499,0.8219938576221466
0.8108371831476688,0.8196582347154617
0.8133434690535069,0.8190858364105225
0.8159826956689358,0.819681853055954
0.8137786164879799,0.8315718024969101
0.8109502606093884,0.8173184543848038
0.8083498999476433,0.8181168138980865
0.8099029548466206,0.8164815306663513
0.8118364326655865,0.8155846297740936
0.805883415043354,0.8156523704528809
0.8117138519883156,0.8168758600950241
0.8119555748999119,0.8193213790655136
0.8105888329446316,0.8154437392950058
0.8214743100106716,0.8228142112493515
0.8128274902701378,0.8184292763471603
0.8057151660323143,0.8132918924093246
0.8053419515490532,0.8123065084218979
0.8056630343198776,0.8109323531389236
0.8035956025123596,0.8099783360958099
0.8056844398379326,0.8105507344007492
0.8033696301281452,0.8212553560733795
0.7992542535066605,0.8102117329835892
0.8046091236174107,0.8168528527021408
0.8035750538110733,0.8087753653526306
0.8005222603678703,0.8115743547677994
0.803529616445303,0.8190505355596542
0.8012647666037083,0.8183145821094513
0.8039943166077137,0.8214396238327026
0.799501821398735,0.8046742975711823
0.7958831898868084,0.8042193204164505
0.7948818206787109,0.8036688417196274
0.7928144223988056,0.8026817888021469
0.7939989119768143,0.8057151734828949
0.7999786511063576,0.8071169704198837
0.796948567032814,0.805224284529686
0.7969667911529541,0.8051579296588898
0.801763728260994,0.8196606785058975
0.7961709648370743,0.8017820119857788
0.7910449281334877,0.7995074242353439
0.7907245121896267,0.8014355897903442
0.7927417419850826,0.8057999312877655
0.7954845316708088,0.8115809708833694
0.7952443547546864,0.796872466802597
0.7932474575936794,0.7967092096805573
0.7912083119153976,0.8016876131296158
0.7872378975152969,0.796279102563858
0.7906320467591286,0.8030314296483994
0.7928032241761684,0.8020741045475006
0.7900452055037022,0.7983466535806656
0.785032007843256,0.794926106929779
0.7910454608500004,0.7937871217727661
0.7871766984462738,0.7931647151708603
0.7836346514523029,0.7930826544761658
0.7851558923721313,0.7925375252962112
0.7814211510121822,0.7958258241415024
0.7853194288909435,0.7912793308496475
0.7864507287740707,0.7907446771860123
0.7812021896243095,0.7916163206100464
0.7808715403079987,0.7891630977392197
0.7803015299141407,0.794850766658783
0.7805340625345707,0.7887779474258423
0.780494250357151,0.7902653217315674
0.7788781598210335,0.7896914929151535
0.7806195840239525,0.7866220027208328
0.7746130488812923,0.7927559465169907
0.7766978330910206,0.7933541983366013
0.7827082760632038,0.7887168228626251
0.7772621251642704,0.7970802038908005
0.7775504924356937,0.7885260283946991
0.7797943241894245,0.796464130282402
0.7762370929121971,0.787778690457344
0.7795489430427551,0.7858965247869492
0.7745522856712341,0.7878361940383911
0.7755312994122505,0.7820478826761246
0.7739056646823883,0.7836280018091202
0.7748753391206264,0.7819572389125824
0.7741506099700928,0.7871719747781754
0.7742591723799706,0.781484916806221
0.771077785640955,0.7801406979560852
